Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-10-30,57.2,57.6,57,57.4,117512
2018-10-31,57.45,58.35,57.05,57.75,289714
2018-11-02,58.1,60.2,57.95,59.8,219910
2018-11-05,59.8,59.8,58.1,58.6,209684
2018-11-06,58.25,58.55,55.85,57,272575
2018-11-07,56.7,58.6,56.7,58.25,306847
2018-11-08,58.9,61.25,58.9,59.9,474769
2018-11-09,57.7,58.35,55.4,56.2,811986
2018-11-13,56.4,57,53.35,53.4,508696
2018-11-14,53.1,56.45,52.5,55.1,808278
2018-11-15,55,56.2,53.55,53.55,2126133
2018-11-16,53.85,54.3,49.8,50.65,708094
2018-11-19,51.35,52.1,50.8,52,308628
2018-11-20,51.55,52.35,51.3,51.7,157044
2018-11-21,52,52.75,49.52,50.1,821151
2018-11-22,50.5,51.7,50.3,51.7,231841
2018-11-23,51.7,51.95,51.15,51.5,169534
2018-11-26,52,52.3,49.76,50,671898
2018-11-27,50,50,48.12,48.7,754224
2018-11-28,48.9,51.95,48.9,51.1,815648
2018-11-29,51.7,53.8,51.7,53.8,396771
2018-11-30,53.5,54.5,52.6,54.5,477927
2018-12-03,55.6,55.75,54.5,55.45,323395
2018-12-04,55.2,57.15,55.15,56.65,424752
2018-12-05,55.7,57.4,54.8,57.4,276976
2018-12-06,56.8,56.9,55,55.15,285450
2018-12-07,56,56,54.2,54.85,150642
2018-12-10,54.05,55,53.25,54.8,141680
2018-12-11,55.4,55.4,53.1,53.1,182964
2018-12-12,53.55,54.8,53.2,54.65,218163
2018-12-13,55,55.25,54,54.95,231849
2018-12-14,54.25,55.35,54.1,55.2,173859
2018-12-17,55.4,56.35,55.05,55.6,187398
2018-12-18,55,57.05,54.8,57.05,373238
2018-12-19,57.05,57.2,55.6,56.75,286749
2018-12-20,56.25,56.5,55.6,55.85,192986
2018-12-21,56,56.15,54,54.5,445192
2018-12-27,55.1,55.5,53,53.1,185357
2018-12-28,53.45,53.95,53.15,53.15,175680
2019-01-02,53.15,55.15,52.9,55,187429
2019-01-03,55,55,53.3,53.4,219807
2019-01-04,53.9,55,53.9,54.75,127074
2019-01-07,55.05,56.2,54.8,56.2,187654
2019-01-08,55.65,56.2,54.9,55.95,168800
2019-01-09,56.4,56.4,55.85,56.35,192929
2019-01-10,55.5,55.55,54.35,55,294469
2019-01-11,55.75,56.15,54.6,55.6,264094
2019-01-14,55.1,55.95,54.75,55,84930
2019-01-15,55.5,55.8,54.2,54.6,455044
2019-01-16,54.5,55.9,54.5,55.85,192213
2019-01-17,55.9,56,54.55,54.7,324545
2019-01-18,55.4,55.6,53.95,54.2,354093
2019-01-21,54.4,54.4,53.25,53.8,208107
2019-01-22,53.9,54.35,53.65,53.95,206199
2019-01-23,54.15,54.8,53.75,54.4,197680
2019-01-24,54.7,55.6,54.45,55.5,283781
2019-01-25,55.55,57.75,55.55,57.5,704600
2019-01-28,57.6,59.7,56.65,58.25,655110
2019-01-29,58.3,58.8,57.55,57.55,261735
2019-01-30,57.8,57.8,56.55,56.85,228316
2019-01-31,57.95,58,57,57.5,281093
2019-02-01,58,58.9,57.6,58.55,253753
2019-02-04,58.55,58.75,57.65,58.5,198271
2019-02-05,59,60.7,58.15,60.5,295974
2019-02-06,60.6,62.45,60.15,60.5,339076
2019-02-07,60.5,60.9,59.75,60.35,151067
2019-02-08,59.8,60.15,58.9,59.5,367368
2019-02-11,59.3,60.3,58.4,58.55,157252
2019-02-12,59,59.5,58.85,59.25,137949
2019-02-13,59.6,59.7,57.85,58.2,189924
2019-02-14,58.2,58.5,57,57.7,202926
2019-02-15,57.75,58.7,57.25,57.45,161152
2019-02-18,57.85,58.1,57.2,57.75,159458
2019-02-19,57.85,59.35,57.35,59.35,156949
2019-02-20,59.5,60.2,58.8,59.75,196785
2019-02-21,59.8,60.35,58.9,59.3,268079
2019-02-22,59.75,60.3,59.2,59.5,167298
2019-02-25,59.85,60.2,58.6,59.15,115373
2019-02-26,59,59.2,58.4,59.05,105652
2019-02-27,59.4,59.4,58,58.1,132141
2019-02-28,59,59.55,58.1,58.7,284605
2019-03-01,59.5,60.8,58.9,60.05,268854
2019-03-04,60.2,63,60.2,62.3,674408
2019-03-05,62.3,63.5,62,62.45,436168
2019-03-06,62.5,62.5,61.45,62,182212
2019-03-07,62,62.15,60.2,60.4,281743
2019-03-08,60.4,60.65,59.5,60.3,205985
2019-03-11,60.95,61,59.95,60.5,162999
2019-03-12,61,62.55,60.6,62.3,407567
2019-03-13,62.5,62.5,60.3,61.5,247644
2019-03-14,61,63.15,61,63.15,231165
2019-03-15,63.15,63.6,62.15,63.35,489269
2019-03-18,63.35,63.6,62.35,62.75,106828
2019-03-19,63,64.5,63,63.9,226722
2019-03-20,63.65,63.8,63.2,63.8,125488
2019-03-21,64.15,64.15,62.65,62.9,210280
2019-03-22,63.05,63.05,61.05,61.55,294067
2019-03-25,60.8,62,60.7,61.7,183647
2019-03-26,61.8,62,60.85,61,129659
2019-03-27,61.25,62.25,60.75,61.85,148105
2019-03-28,62,62,60.5,60.65,87334
2019-03-29,60.95,61.15,59.55,59.75,211187
2019-04-01,60.35,60.85,60.2,60.4,263817
2019-04-02,60.4,61.15,60.2,60.2,404085
2019-04-03,60.5,60.85,60.4,60.55,260332
2019-04-04,60.5,61.1,60.3,60.4,167861
2019-04-05,60.5,61.15,59.9,59.9,128283
2019-04-08,59.9,60.5,59.5,60,279608
2019-04-09,60,60.4,59.75,60.15,185714
2019-04-10,60.4,60.4,59.7,60,195586
2019-04-11,60,60,59.1,59.8,98551
2019-04-12,59.9,59.9,58.25,58.55,162995
2019-04-15,58.65,59.25,57.15,57.5,165845
2019-04-16,57.75,59,57.6,59,427478
2019-04-17,58.9,60.4,58.75,59.9,310623
2019-04-18,59.95,60.2,59.25,60,172756
2019-04-23,60,60,59.1,59.8,43868
2019-04-24,59.45,60,59.3,59.95,208267
2019-04-25,60,60,58.55,59,161020
2019-04-26,58.95,59.35,58.15,58.95,153520
2019-04-29,59.05,59.6,58.9,59.05,81711
2019-04-30,58.05,58.95,57.85,58.65,182557
2019-05-02,58.65,58.75,57.55,57.7,78699
2019-05-06,56.55,56.6,53,55.05,311868
2019-05-07,55.5,56.55,55,55,236597
2019-05-08,55,56,53.3,53.6,192202
2019-05-09,53.3,53.95,52.25,52.25,220072
2019-05-10,52.25,53.1,52.1,52.25,378611
2019-05-13,52.35,52.85,51.7,52.65,174590
2019-05-14,52.5,53.5,52.5,52.75,231722
2019-05-15,52.75,53.15,52.55,52.8,188307
2019-05-16,53,53.3,52.6,52.6,193529
2019-05-17,52.4,52.75,51.85,52.4,111991
2019-05-20,52.5,52.6,51.45,52.2,142102
2019-05-21,52.3,53.45,52.3,53.4,174948
2019-05-22,53.4,54.4,52.85,54.05,177748
2019-05-23,54.3,54.3,51.3,51.55,204078
2019-05-24,51.6,52.15,50.6,51,183530
2019-05-27,51,51.7,50,50.05,145781
