Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-10-30,65.783,65.783,64.757,64.85,10420
2018-10-31,64.85,66.25,64.85,65.316,28313
2018-11-02,66.25,66.25,65.41,65.97,12110
2018-11-05,66.063,66.809,65.876,66.809,26830
2018-11-06,66.996,67.183,66.343,66.903,44991
2018-11-07,66.903,67.276,66.343,66.529,30407
2018-11-08,67.089,67.556,66.623,67.183,30539
2018-11-09,67.183,67.183,66.716,66.903,13349
2018-11-13,66.996,67.369,66.436,66.436,82849
2018-11-14,66.903,66.903,65.223,65.783,54299
2018-11-15,65.316,65.69,64.757,65.223,45232
2018-11-16,65.316,66.156,63.357,64.477,83821
2018-11-19,64.383,65.783,64.383,65.783,45456
2018-11-20,65.316,65.503,64.29,64.29,23418
2018-11-21,64.29,65.223,64.29,64.663,26136
2018-11-22,64.663,65.596,64.663,64.663,14605
2018-11-23,64.85,65.037,64.383,64.57,9561
2018-11-26,64.57,65.316,64.477,64.757,20711
2018-11-27,64.757,65.316,64.197,64.383,21293
2018-11-28,64.85,65.13,64.197,65.13,87976
2018-11-29,65.13,66.436,65.13,66.436,49914
2018-11-30,66.436,66.436,64.197,64.197,114835
2018-12-03,65.037,66.716,64.943,66.436,29743
2018-12-04,66.25,66.529,65.596,66.343,32377
2018-12-05,66.063,67.369,65.13,67.369,82986
2018-12-06,66.623,66.716,65.223,65.316,20728
2018-12-07,65.316,66.25,64.477,64.85,16724
2018-12-10,65.69,65.69,64.477,64.663,15904
2018-12-11,64.943,65.596,64.383,64.383,23512
2018-12-12,65.41,65.41,64.477,64.757,23364
2018-12-13,64.757,65.503,64.197,65.13,52640
2018-12-14,64.57,65.69,64.477,65.41,39924
2018-12-17,65.41,65.783,63.917,64.197,38555
2018-12-18,63.917,64.85,63.917,64.663,34896
2018-12-19,64.663,64.943,64.477,64.663,10565
2018-12-20,64.757,65.037,64.01,64.85,28609
2018-12-21,64.383,64.663,63.45,64.663,76795
2018-12-27,65.037,65.037,63.45,63.917,12223
2018-12-28,64.29,65.037,63.917,64.477,29784
2019-01-02,64.01,65.223,64.01,65.223,8856
2019-01-03,65.316,65.503,63.917,64.57,21866
2019-01-04,64.663,64.663,63.264,63.45,64531
2019-01-07,63.917,64.57,63.637,64.57,35076
2019-01-08,64.757,64.757,63.917,64.57,24763
2019-01-09,64.383,65.13,64.197,64.85,51578
2019-01-10,64.477,65.223,64.477,64.85,114702
2019-01-11,65.037,65.316,64.757,65.037,59377
2019-01-14,64.943,65.503,64.757,65.503,51103
2019-01-15,65.41,65.41,64.757,64.943,23312
