Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-05-14,22.695,22.9,21.2,21.8,381096
2019-05-15,22.1,27.3,22.1,27.3,325168
2019-05-16,28.6,29.6,24.5,25,346281
2019-05-17,25,26.2,23.23,25.4,147613
2019-05-20,25.8,25.8,23.3,23.42,48946
2019-05-21,23.5,24.3,22.12,22.9,60635
2019-05-22,22.58,22.58,20.055,20.67,164006
2019-05-23,20.3,21.63,20.02,21.05,31716
2019-05-24,21.2,24.7,21.01,24.7,122717
2019-05-27,24.2,24.67,22.705,23.4,71706
2019-05-28,23.6,24.5,23.02,23.2,34810
2019-05-29,23.48,23.6,21.88,22.6,23061
2019-05-30,21.8,23.8,20.6,22.11,99337
2019-05-31,22.11,22.59,21.24,21.8,25397
2019-06-03,22,22.34,21.4,21.4,10764
2019-06-04,21.5,22.29,21.5,21.75,14051
2019-06-05,21.7,22.3,21.41,21.8,10342
2019-06-06,21.6,21.6,19.5,20.69,71180
2019-06-07,20.49,21,20.045,20.3,31019
2019-06-10,20.49,20.49,19.5,20,23303
2019-06-11,19.4,20,19.01,19.1,20716
2019-06-12,19.01,19.59,17.28,17.6,43950
2019-06-13,17.6,19,17.4,17.4,22154
2019-06-14,17.92,18.4,17.28,18.238,10654
2019-06-17,18.5,18.5,17.5,18.1,2768
2019-06-18,18.4,18.4,17.2,17.6,8101
2019-06-19,17.6,17.6,16.2,16.32,29762
2019-06-21,16.4,17.45,16.4,17.006,19784
2019-06-24,17,17,16.12,16.58,5940
2019-06-25,16.58,17.69,15.11,17.2,34757
2019-06-26,16.92,17.44,16.412,17.25,3881
2019-06-27,17.55,18.2,17.056,17.25,13642
2019-06-28,17.5,17.87,16.9,17.7,8705
2019-07-01,18.392,18.99,17.7,18.5,22291
2019-07-02,18.45,20.88,18.45,20.2,53786
2019-07-03,20.2,20.2,19.322,19.9,16329
2019-07-04,19.94,20,18.5,19,20787
2019-07-05,18.8,19,18.1,18.45,22144
2019-07-08,18.85,19,18.2,18.6,6075
2019-07-09,18.8,19.3,18.6,19,4909
2019-07-10,19.288,19.4,18.8,19.08,4384
2019-07-11,19.294,19.294,18.68,19.248,3009
2019-07-12,19.24,19.24,19,19,2142
2019-07-15,19.248,20.23,19.2,19.548,16257
2019-07-16,19.796,20.5,19.2,19.7,20662
2019-07-17,20.19,20.3,19.84,20.005,11558
2019-07-18,20.39,20.39,19.7,20.145,5010
2019-07-19,20,20.4,19.74,20.27,3891
2019-07-22,20.28,20.35,19.512,20,4576
2019-07-23,20.21,20.21,19.5,19.8,5605
2019-07-24,19.8,19.8,19.5,19.5,3460
2019-07-25,19.7,19.7,18.2,18.65,26176
2019-07-26,18.65,18.7,18.34,18.666,6890
2019-07-29,18.666,18.77,18.3,18.55,6098
2019-07-30,18.648,19,18.3,18.5,4900
2019-07-31,18.93,18.93,17.9,18.5,10780
2019-08-01,18.598,18.598,18.4,18.5,3510
