Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-10-30,1.28,1.29,1.24,1.27,44494
2018-10-31,1.27,1.34,1.23,1.3,58826
2018-11-02,1.3,1.32,1.23,1.26,51676
2018-11-05,1.22,1.25,1.17,1.18,84753
2018-11-06,1.2,1.2,1,1,247357
2018-11-07,0.98,1,0.92,0.99,135628
2018-11-08,0.99,1.08,0.98,1.05,159079
2018-11-09,1.05,1.08,1,1,71931
2018-11-13,1,1,0.96,0.96,17956
2018-11-14,0.96,1,0.82,0.87,143619
2018-11-15,0.86,0.93,0.86,0.87,61657
2018-11-16,0.87,0.9,0.82,0.84,44014
2018-11-19,0.84,0.86,0.82,0.84,14356
2018-11-20,1.18,1.18,0.88,1.16,1441670
2018-11-21,1.27,1.52,1.19,1.4,1276065
2018-11-22,1.44,1.47,1.2,1.24,527485
2018-11-23,1.27,1.52,1.25,1.47,561962
2018-11-26,1.48,1.95,1.43,1.95,1116941
2018-11-27,1.82,1.96,1.64,1.7,904240
2018-11-28,1.78,1.85,1.63,1.64,222966
2018-11-29,1.7,1.77,1.64,1.64,225822
2018-11-30,1.64,1.69,1.4,1.46,498896
2018-12-03,1.46,1.48,1.32,1.32,324300
2018-12-04,1.25,1.57,1.25,1.44,711408
2018-12-05,1.45,1.78,1.4,1.75,887599
2018-12-06,1.69,2.23,1.69,2.23,1907408
2018-12-07,2.33,2.36,2.05,2.11,1116917
2018-12-10,2.06,2.48,2.06,2.31,1330311
2018-12-11,2.19,2.35,2.07,2.12,726766
2018-12-12,2.11,2.27,1.98,2.21,656489
2018-12-13,2.24,2.42,2.14,2.18,490972
2018-12-14,2.16,2.26,2.03,2.15,227690
2018-12-17,2.25,2.38,2.15,2.29,580236
2018-12-18,2.35,2.45,2.17,2.24,520888
2018-12-19,2.28,2.29,2.14,2.16,161264
2018-12-20,2.11,2.22,2.05,2.12,223202
2018-12-21,2.12,2.19,2.07,2.07,129649
2018-12-27,2.07,2.12,2.02,2.02,80632
2018-12-28,2.02,2.09,1.96,2,79026
2019-01-02,2.01,2.15,2.01,2.14,109759
2019-01-03,2.15,2.36,2.14,2.36,332176
2019-01-04,2.36,2.53,2.21,2.24,769170
2019-01-07,2.29,2.31,2.16,2.21,115898
2019-01-08,2.19,2.24,2.15,2.2,98713
2019-01-09,2.15,2.15,1.83,1.97,592064
2019-01-10,1.95,1.97,1.63,1.66,790939
2019-01-11,1.68,1.81,1.64,1.73,437672
2019-01-14,1.79,1.85,1.77,1.78,167579
2019-01-15,1.84,1.86,1.71,1.77,121072
2019-01-16,1.81,1.83,1.74,1.79,82477
2019-01-17,1.79,1.8,1.72,1.79,54558
2019-01-18,1.78,1.78,1.73,1.76,20764
2019-01-21,1.75,1.77,1.72,1.77,42511
2019-01-22,1.72,1.78,1.72,1.76,17326
2019-01-23,1.77,1.77,1.68,1.7,49257
2019-01-24,1.68,1.7,1.66,1.69,37460
2019-01-25,1.7,1.7,1.54,1.69,123239
2019-01-28,1.72,1.72,1.6,1.63,48479
2019-01-29,1.67,1.72,1.58,1.72,68884
2019-01-30,1.76,1.83,1.69,1.72,102468
2019-01-31,1.7,1.73,1.63,1.65,44366
2019-02-01,1.69,1.69,1.63,1.66,25163
2019-02-04,1.66,1.71,1.63,1.7,25057
2019-02-05,1.64,1.71,1.64,1.66,67904
2019-02-06,1.67,1.67,1.58,1.62,78482
2019-02-07,1.61,1.62,1.55,1.6,78415
2019-02-08,1.6,1.6,1.49,1.49,89842
2019-02-11,1.49,1.55,1.42,1.53,102539
2019-02-12,1.54,1.54,1.45,1.54,74447
2019-02-13,1.48,1.53,1.48,1.5,27773
2019-02-14,1.52,1.52,1.46,1.49,20518
2019-02-15,1.5,1.51,1.45,1.49,27916
2019-02-18,1.51,1.51,1.4,1.42,30135
2019-02-19,1.41,2.2,1.34,2.2,752218
2019-02-20,2.6,2.8,2.21,2.3,1462302
2019-02-21,2.24,2.3,2.06,2.06,626666
2019-02-22,2.07,2.11,1.97,2.07,292911
2019-02-25,2.04,2.37,2.02,2.25,561883
2019-02-26,2.24,2.24,2.02,2.05,366963
2019-02-27,2.07,2.11,2,2.01,168138
2019-02-28,2,2.17,1.96,2.1,219237
2019-03-01,2.3,2.35,2.17,2.22,860810
2019-03-04,2.31,2.31,2.12,2.26,184670
2019-03-05,2.26,2.26,2.165,2.18,110831
2019-03-06,2.35,2.84,2.25,2.84,1677270
2019-03-07,2.86,3.95,2.86,3.5,3388124
2019-03-08,3.36,3.645,3.17,3.22,1418314
2019-03-11,3.22,3.44,3.2,3.28,349576
2019-03-12,3.3,3.32,3.01,3.08,541371
2019-03-13,3.05,3.47,2.88,3.13,1666246
2019-03-14,3.23,3.33,3.07,3.085,533025
2019-03-15,3.04,3.06,2.93,2.955,421440
2019-03-18,2.81,2.84,2.68,2.7,693813
2019-03-19,2.7,2.95,2.665,2.75,523581
2019-03-20,2.715,2.93,2.715,2.81,193923
2019-03-21,2.86,2.87,2.75,2.825,81863
2019-03-22,2.835,2.84,2.725,2.75,89487
2019-03-25,2.8,2.845,2.665,2.685,142405
2019-03-26,2.7,2.8,2.67,2.71,76821
2019-03-27,2.72,2.755,2.525,2.525,170284
2019-03-28,2.525,2.575,2.32,2.34,263502
2019-03-29,2.34,2.61,2.24,2.48,378371
2019-04-01,3.2,3.2,2.91,2.96,1349888
2019-04-02,3.03,3.04,2.69,2.69,788295
2019-04-03,2.7,2.79,2.65,2.66,335584
2019-04-04,2.72,2.74,2.615,2.66,195469
2019-04-05,2.655,2.67,2.605,2.62,85541
2019-04-08,2.6,2.78,2.6,2.61,116888
2019-04-09,2.665,2.67,2.52,2.535,72973
2019-04-10,2.55,2.98,2.52,2.735,439608
2019-04-11,2.76,2.86,2.655,2.705,181529
2019-04-12,2.7,2.7,2.615,2.67,81902
2019-04-15,2.46,2.595,2.45,2.45,307885
2019-04-16,2.35,2.38,2.15,2.29,617392
2019-04-17,2.2,2.29,1.98,1.98,521069
2019-04-18,1.96,2.14,1.96,2.085,260540
2019-04-23,2.14,2.14,1.91,1.91,200692
2019-04-24,1.93,2.34,1.93,2.34,826913
2019-04-25,2.32,2.42,2.195,2.22,475052
2019-04-26,2.19,2.19,2.07,2.125,336408
2019-04-29,2.1,2.19,2.07,2.085,132299
2019-04-30,2.1,2.31,2.05,2.19,271228
2019-05-02,2.145,2.2,2.08,2.13,60829
2019-05-06,2.15,2.22,2.01,2.08,80569
2019-05-07,1.97,1.97,1.774,1.824,163888
2019-05-08,1.824,1.878,1.562,1.61,134348
2019-05-09,1.62,1.894,1.62,1.848,145645
2019-05-10,1.86,1.9,1.7,1.73,84316
2019-05-13,1.73,1.73,1.6,1.68,106857
2019-05-14,1.7,1.77,1.6,1.614,118443
2019-05-15,1.65,1.65,1.53,1.55,54002
2019-05-16,1.584,1.584,1.54,1.57,52709
2019-05-17,1.86,2.045,1.714,1.75,678509
2019-05-20,1.808,1.85,1.63,1.752,177571
2019-05-21,1.754,1.784,1.64,1.686,103340
2019-05-22,1.7,1.7,1.65,1.654,20230
2019-05-23,1.682,1.85,1.62,1.79,158548
2019-05-24,1.82,1.82,1.64,1.716,124115
2019-05-27,1.716,1.716,1.662,1.672,29660
2019-05-28,1.7,2.055,1.646,2,736276
2019-05-29,1.924,1.95,1.67,1.67,428253
2019-05-30,1.7,1.846,1.62,1.714,283539
2019-05-31,1.66,1.798,1.66,1.75,332903
2019-06-03,1.768,1.788,1.67,1.73,96615
2019-06-04,1.726,1.75,1.684,1.714,54807
2019-06-05,1.748,1.748,1.636,1.66,72034
2019-06-06,1.678,1.688,1.63,1.636,105416
2019-06-07,1.65,1.75,1.63,1.66,127115
2019-06-10,1.71,1.728,1.61,1.668,124645
2019-06-11,1.668,1.668,1.51,1.588,173662
2019-06-12,1.59,1.748,1.57,1.614,191955
2019-06-13,1.656,1.9,1.624,1.84,473135
