Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-10-30,147,152.27,144.41,151.67,490076
2018-10-31,153.86,159.73,153.86,157.55,588105
2018-11-02,164.21,168.99,161.33,163.52,664125
2018-11-05,163.22,167.6,159.73,161.33,299330
2018-11-06,162.72,166,157.45,162.52,243563
2018-11-07,163.42,165.41,161.53,164.41,184485
2018-11-08,165.01,169.59,154.86,155.26,368904
2018-11-09,155.36,155.75,147.29,149.09,636406
2018-11-13,148.29,150.68,142.82,145.8,535180
2018-11-14,138.34,149.19,138.24,145.8,348740
2018-11-15,145.01,148.09,137.34,137.34,352899
2018-11-16,140.53,144.31,128.29,131.77,727914
2018-11-19,131.77,136.55,129.48,133.36,448892
2018-11-20,130.57,134.36,123.71,128.38,889635
2018-11-21,130.38,136.94,129.68,136.84,449672
2018-11-22,138.44,139.73,131.67,138.34,294570
2018-11-23,140.13,140.83,134.85,139.53,216746
2018-11-26,141.32,143.21,134.56,138.24,275939
2018-11-27,139.03,139.03,131.97,134.16,247555
2018-11-28,135.45,138.83,133.96,137.34,330712
2018-11-29,139.33,143.31,138.54,140.33,249167
2018-11-30,141.02,141.72,134.36,141.52,340376
2018-12-03,148.09,155.85,147.89,153.27,751049
2018-12-04,153.56,153.96,149.38,153.37,429232
2018-12-05,149.28,150.08,144.41,147.69,437098
2018-12-06,145.3,146.5,142.12,143.01,230558
2018-12-07,144.31,148.99,143.01,143.31,254978
2018-12-10,141.52,144.91,139.53,139.53,194311
2018-12-11,141.02,143.11,139.43,139.73,206844
2018-12-12,142.02,143.21,139.33,141.12,208645
2018-12-13,143.11,144.51,139.93,143.31,194279
2018-12-14,141.32,145.6,140.63,142.92,173809
2018-12-17,143.51,143.71,138.34,138.34,207385
2018-12-18,137.44,142.72,134.75,141.92,287534
2018-12-19,142.12,152.27,140.53,152.27,400739
2018-12-20,148.59,152.07,147.69,149.09,382682
2018-12-21,149.38,156.05,148.29,150.28,652480
2018-12-27,155.26,156.25,145.9,146.8,239063
2018-12-28,144.31,146.2,142.52,144.91,286100
2019-01-02,144.71,150.58,141.42,150.28,197959
2019-01-03,150.08,150.08,146.3,147.29,224657
2019-01-04,147.29,150.08,147.29,149.98,164736
2019-01-07,151.28,153.86,150.78,152.97,188888
2019-01-08,153.76,155.95,151.28,152.87,279644
2019-01-09,153.37,164.21,153.27,164.21,479436
2019-01-10,163.72,171.38,159.34,170.18,698399
2019-01-11,172.18,176.26,163.22,164.31,486801
2019-01-14,163.22,163.22,158.04,158.74,263282
2019-01-15,160.43,163.22,158.24,161.53,314190
2019-01-16,163.22,165.81,162.72,165.81,150558
2019-01-17,164.21,171.18,163.82,170.28,370855
2019-01-18,172.18,174.17,169.69,173.07,303242
2019-01-21,172.97,172.97,169.89,171.98,122702
2019-01-22,171.88,175.56,171.48,173.27,149163
2019-01-23,176.65,197.45,175.16,193.67,1230084
2019-01-24,193.87,200.44,185.11,189.09,783197
2019-01-25,190.09,193.47,186.9,188.89,362165
2019-01-28,187,191.28,184.32,186.71,242434
2019-01-29,186.71,191.68,184.81,189.19,223302
2019-01-30,191.08,196.76,190.09,194.17,307399
2019-01-31,197.06,198.05,189.09,189.09,444420
2019-02-01,189.09,191.18,187.2,189.09,219144
2019-02-04,189.09,190.09,186.51,189.79,181149
2019-02-05,190.59,192.08,188.1,190.69,150414
2019-02-06,190.09,190.09,180.24,181.63,507096
2019-02-07,180.53,182.43,175.96,177.15,359724
2019-02-08,176.55,181.43,175.76,177.45,342691
2019-02-11,179.54,184.12,178.64,182.82,264140
2019-02-12,184.12,184.91,173.27,176.26,337375
2019-02-13,178.15,180.34,172.57,176.26,287915
2019-02-14,176.26,178.94,174.76,177.35,127465
2019-02-15,176.75,182.13,175.46,181.63,211242
2019-02-18,183.12,184.02,179.64,180.14,176378
2019-02-19,180.14,182.62,174.17,176.75,196131
2019-02-20,176.65,181.73,174.96,181.73,209141
2019-02-21,181.63,181.63,177.15,179.14,224666
2019-02-22,178.35,180.34,176.45,177.45,227485
2019-02-25,177.45,181.93,177.45,181.13,133857
2019-02-26,181.13,184.91,178.94,184.81,196822
2019-02-27,184.02,189.39,181.53,188.6,326203
2019-02-28,189.09,194.07,188.3,189.19,298474
2019-03-01,191.08,192.08,188.7,192.08,131913
2019-03-04,191.08,192.78,186.8,188.5,148881
2019-03-05,187.7,189.09,186.21,186.71,73891
2019-03-06,188,188.4,186.01,187.1,162133
2019-03-07,187.1,188.1,184.12,184.52,132296
2019-03-08,184.42,186.11,181.73,182.13,152452
2019-03-11,181.13,183.42,180.73,181.03,225490
2019-03-12,183.22,184.22,175.66,179.04,273493
2019-03-13,179.14,183.22,177.25,183.12,246091
2019-03-14,183.22,183.82,181.53,182.72,163949
2019-03-15,182.23,186.11,181.93,185.21,381161
2019-03-18,185.21,188.6,183.12,187.5,191794
2019-03-19,186.51,189.39,184.71,187.4,137265
2019-03-20,189.89,189.89,184.81,185.21,163402
2019-03-21,185.31,186.01,181.73,184.42,164577
2019-03-22,186.21,187.8,184.02,185.01,139925
2019-03-25,183.92,186.8,182.43,183.62,192700
2019-03-26,184.62,185.41,182.23,184.91,108710
2019-03-27,185.41,199.05,182.92,194.97,726721
2019-03-28,196.06,201.43,193.37,200.24,361630
2019-03-29,201.04,203.62,195.16,199.05,383935
2019-04-01,200.04,208.3,198.55,203.03,426563
2019-04-02,204.02,211.98,204.02,211.69,328748
2019-04-03,213.97,218.85,213.48,218.85,442078
2019-04-04,218.95,219.45,203.62,206.01,666653
