Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-10-30,17.78,17.78,17.78,17.78,100
2018-11-05,19.2,19.2,19.2,19.2,1
2018-11-06,19.19,19.19,19.14,19.14,312
2018-11-07,19.14,19.14,18.42,18.42,17
2018-11-08,18.42,19.13,18.42,19.13,114
2018-11-14,19,19,19,19,5
2018-11-15,18.91,18.91,18.91,18.91,3
2018-11-21,18.89,18.89,18.89,18.89,100
2018-11-22,18.9,18.9,17.4,17.77,685
2018-11-23,17.7,17.7,17.53,17.65,1550
2018-11-26,18,18,17.77,17.77,137
2018-11-27,17.8,18.72,17.8,18.72,79
2018-11-28,18.72,18.72,18.06,18.06,1695
2018-11-30,18.1,18.75,18.05,18.75,451
2018-12-03,18.52,18.63,17.61,18.63,63
2018-12-04,18.63,18.63,18.39,18.39,180
2018-12-05,18.34,18.34,18.34,18.34,50
2018-12-06,18.75,18.75,17.28,17.28,1894
2018-12-07,17.5,17.5,17.3,17.3,120
2018-12-10,17.85,17.85,17.1,17.1,1705
2018-12-11,17.1,17.1,17.09,17.09,143
2018-12-12,17.8,17.8,17.52,17.52,65
2018-12-13,17.52,17.52,17.52,17.52,1060
2018-12-14,17.43,17.43,17.43,17.43,206
2018-12-18,17.4,17.4,17.4,17.4,5
2018-12-19,16.8,17.82,16.8,17.46,300
2018-12-20,17.41,17.41,17.35,17.35,118
2018-12-21,17.3,17.3,17,17,308
2018-12-27,17,17.72,16.8,16.8,154
2018-12-28,16.86,16.86,16.86,16.86,100
2019-01-02,17.48,17.48,16.8,17.46,312
2019-01-03,17.46,17.46,17.25,17.25,361
2019-01-04,17.48,17.84,17.48,17.8,1280
2019-01-07,17.88,18.3,17.88,18.1,2592
2019-01-09,18.1,18.5,18.1,18.4,826
2019-01-10,18.4,18.5,18.4,18.49,487
2019-01-11,18.45,18.6,18.42,18.51,1386
2019-01-14,18.55,18.55,18.3,18.3,230
2019-01-15,18.47,18.59,18.3,18.48,191
2019-01-16,18.48,18.5,18.35,18.5,161
2019-01-17,18.5,18.55,18.15,18.52,331
2019-01-18,18.9,18.9,18.75,18.75,383
2019-01-21,18.9,18.9,18.84,18.84,213
2019-01-22,18.9,18.9,18.82,18.82,229
2019-01-24,18.76,18.9,18.7,18.81,1781
2019-01-25,18.9,19.03,18.9,18.9,21990
2019-01-28,18.8,18.8,18.7,18.8,379
2019-01-29,18.79,19.7,18.6,18.6,1108
2019-01-30,18.7,18.7,18.3,18.3,295
2019-01-31,18,18.45,17.59,17.59,649
2019-02-01,17.62,17.74,17.2,17.74,1593
2019-02-04,17.5,17.79,17.2,17.73,999
2019-02-05,17.78,17.78,17.5,17.5,454
2019-02-06,17.7,17.79,17.47,17.47,783
2019-02-07,17.4,17.5,17.4,17.5,800
2019-02-08,17.5,18.09,17.22,17.22,264
2019-02-11,17.34,17.34,17.34,17.34,9
2019-02-12,17.55,17.7,17.55,17.7,435
2019-02-13,17.5,17.5,17.5,17.5,300
2019-02-14,18.1,18.1,18.1,18.1,1
2019-02-15,17.36,18.02,17.36,17.56,1719
2019-02-18,18,18.08,18,18.08,1306
2019-02-19,18.04,18.04,17.85,17.85,444
2019-02-20,17.99,17.99,17.58,17.95,1295
2019-02-22,18,18,18,18,222
2019-02-25,18.04,18.15,18,18,422
2019-02-26,18.13,18.53,18.13,18.53,270
2019-02-27,18.5,18.5,17.75,18.24,253
2019-02-28,18.25,18.25,18.25,18.25,100
2019-03-01,18.5,18.55,18.4,18.4,6518
2019-03-04,18.6,18.654,18.5,18.654,2227
2019-03-05,18.7,18.7,18.012,18.594,13921
2019-03-06,18.2,18.6,18.098,18.6,2205
2019-03-07,18.5,18.54,18,18.496,4531
2019-03-08,18.488,18.488,17.65,17.65,880
2019-03-11,18.49,18.49,17.7,17.7,1047
2019-03-12,18.04,18.04,17.884,17.884,254
2019-03-13,18,18.2,18,18.2,615
2019-03-14,18.35,18.5,18.35,18.5,6285
2019-03-15,18.6,18.6,18.5,18.5,320
2019-03-18,18.72,19,18.72,19,1202
2019-03-19,19,19.494,18.5,19.022,1064
2019-03-20,19.05,19.05,19,19,210
2019-03-21,18.5,18.5,18.5,18.5,53
2019-03-22,18.56,18.56,18.5,18.5,1029
2019-03-25,18.488,18.488,18.488,18.488,20
2019-03-26,18,18.668,17.74,17.75,1194
2019-03-27,17.75,18.43,17.75,18,129
2019-03-28,18,18,17.8,17.85,1453
2019-03-29,18,18,17.85,17.85,243
2019-04-01,18.192,18.206,18.192,18.2,2575
2019-04-02,18.2,18.6,18.2,18.3,3299
2019-04-03,18.3,18.86,18,18.86,281
2019-04-04,18.86,19,18.506,18.506,1211
2019-04-05,18.86,18.86,18.78,18.78,96
2019-04-08,18.85,18.954,18.85,18.954,286
2019-04-09,19.5,19.5,18.95,19.29,923
2019-04-10,18.91,19.25,18.77,19.25,817
2019-04-11,19.25,19.25,18.6,19.2,632
2019-04-12,18.586,19.7,18.586,19.6,2057
2019-04-15,19.8,19.8,19.8,19.8,367
2019-04-16,19.8,19.8,19.772,19.784,112
2019-04-17,19.784,20,19.784,20,521
2019-04-23,20,20,19.004,19.004,388
2019-04-24,19.016,19.984,19.012,19.492,711
2019-04-25,19.51,19.51,19.51,19.51,27
2019-04-26,19.52,19.52,19.03,19.03,57
2019-04-29,19.98,19.98,19,19,625
