Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-10-30,64.996,67.59,64.731,67.212,227668
2018-10-31,67.552,70.051,67.212,70.051,378201
2018-11-02,70.525,72.872,70.525,71.964,539197
2018-11-05,71.945,75.58,71.566,74.898,396600
2018-11-06,75.258,75.637,73.554,74.785,193647
2018-11-07,74.027,74.974,73.838,74.406,145215
2018-11-08,74.785,75.637,73.838,74.444,187887
2018-11-09,73.857,73.876,71.282,71.85,139889
2018-11-13,71.093,73.592,69.105,69.162,258689
2018-11-14,68.272,73.384,68.026,73.175,162521
2018-11-15,73.365,75.712,72.626,72.626,184429
2018-11-16,72.399,74.255,71.301,73.213,196126
2018-11-19,72.626,74.917,72.172,73.422,191042
2018-11-20,72.891,73.743,70.752,71.206,166586
2018-11-21,71.187,73.043,70.847,72.304,166752
2018-11-22,72.835,73.762,71.471,72.361,110775
2018-11-23,72.513,72.872,67.78,68.688,301758
2018-11-26,69.559,69.767,63.425,63.709,400017
2018-11-27,63.898,64.637,60.964,61.532,528097
2018-11-28,62.005,62.952,61.342,62.27,436978
2018-11-29,62.63,64.182,62.63,63.52,277240
2018-11-30,63.425,63.709,62.081,62.1,415654
2018-12-03,65.602,65.754,64.391,64.94,323785
2018-12-04,65.224,67.439,64.466,67.401,304706
2018-12-05,66.246,67.836,65.451,67.817,222832
2018-12-06,67.212,67.306,64.561,64.996,266329
2018-12-07,65.754,66.227,64.258,64.959,142745
2018-12-10,64.845,64.845,62.478,62.478,118355
2018-12-11,63.179,64.58,62.535,62.535,183455
2018-12-12,63.046,63.652,62.138,62.762,448858
2018-12-13,63.425,63.595,62.403,63.046,337970
2018-12-14,62.478,63.425,62.138,63.387,180298
2018-12-17,62.857,63.425,62.573,62.876,57063
2018-12-18,62.762,65.129,62.762,64.163,193786
2018-12-19,64.618,65.394,63.917,64.864,241960
2018-12-20,64.466,65.015,62.895,63.69,239374
2018-12-21,63.33,63.728,61.532,62.706,392791
2018-12-27,63.652,63.709,62.592,62.687,109169
2018-12-28,63.179,63.709,62.611,63.671,98904
2019-01-02,63.501,63.898,62.497,63.52,88929
2019-01-03,63.33,64.845,61.835,62.365,199934
2019-01-04,62.724,64.258,62.232,64.258,168047
2019-01-07,64.258,65.148,63.709,64.637,116702
2019-01-08,64.353,65.11,63.463,64.031,124781
2019-01-09,63.652,63.898,62.497,63.217,313692
2019-01-10,63.217,63.217,61.835,62.611,215711
2019-01-11,63.008,63.879,61.57,62.384,218762
2019-01-14,62.384,63.33,61.683,61.778,168757
2019-01-15,62.194,62.952,61.778,62.554,207389
2019-01-16,62.573,62.611,60.112,61.096,308474
2019-01-17,61.058,62.365,61.058,61.854,111012
2019-01-18,62.062,63.917,62.024,63.898,259267
2019-01-21,63.425,63.52,62.497,62.952,97693
2019-01-22,62.952,63.046,62.497,62.762,172370
2019-01-23,62.497,62.687,61.835,62.478,188410
2019-01-24,62.478,63.292,61.91,62.952,248123
2019-01-25,63.255,64.523,62.535,64.182,215142
2019-01-28,64.107,64.277,63.008,64.05,127627
2019-01-29,63.671,64.315,63.046,63.425,161105
2019-01-30,63.539,65.129,62.497,62.573,230281
2019-01-31,63.898,64.921,63.236,64.656,340441
2019-02-01,64.353,65.886,63.52,65.886,216071
2019-02-04,65.792,67.401,65.602,66.454,185777
2019-02-05,66.511,66.738,65.148,66.625,103066
2019-02-06,66.17,66.984,65.167,65.186,171166
2019-02-07,65.186,65.186,63.52,63.52,155687
2019-02-08,63.425,63.747,62.687,62.952,190783
2019-02-11,62.762,63.652,61.854,61.854,188846
2019-02-12,62.478,62.554,61.361,61.57,203894
2019-02-13,61.948,61.948,59.354,59.752,309703
