Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-10-30,84.6,85.48,83.94,84.7,553391
2018-10-31,85.02,87.98,84.72,86.88,949654
2018-11-02,89.92,91.4,89.9,90.26,1206559
2018-11-05,89.6,90.96,88.9,90.34,460159
2018-11-06,90.2,90.3,88.2,89.16,353160
2018-11-07,89.4,92,89.14,90.78,580495
2018-11-08,91,91.2,89.12,90.96,496190
2018-11-09,89.5,90.64,88.64,89.3,492892
2018-11-13,89.3,97.96,89,93,1792717
2018-11-14,92.96,92.98,91.2,91.2,428452
2018-11-15,91,92,89.24,90,608177
2018-11-16,90.8,92.28,90,91.2,547579
2018-11-19,91.22,92.6,89.9,91.24,496708
2018-11-20,90.7,90.72,88.6,88.82,730241
2018-11-21,89.44,90.88,89.28,90.64,559292
2018-11-22,90.6,91.34,89.22,91.18,304912
2018-11-23,90.76,91.14,89.02,89.94,253893
2018-11-26,89.6,90.56,87.8,88.1,402429
2018-11-27,88.18,89.1,86.84,87.3,428501
2018-11-28,88.22,90.2,88.08,89.9,461739
2018-11-29,90.6,91.48,89.7,90.28,546586
2018-11-30,90.28,90.28,89.3,89.72,699276
2018-12-03,92,94.6,91.7,93.5,1087659
2018-12-04,92.94,93.4,91.94,92.6,624753
2018-12-05,91.6,92.4,90.8,92,380475
2018-12-06,91,91.34,89.3,89.32,674058
2018-12-07,89.92,90.2,88.1,89,624892
2018-12-10,88.44,88.68,85.8,85.8,483165
2018-12-11,86.66,87.9,86.2,87.1,544406
2018-12-12,87.6,88.96,87.1,88.96,428490
2018-12-13,89.5,90.96,89.2,90.4,603322
2018-12-14,89.2,90.52,88.16,90.52,554897
2018-12-17,89.9,90.9,89.54,89.78,419622
2018-12-18,89.52,89.58,87.72,88.92,461281
2018-12-19,88.8,90.72,88.8,89.68,536656
2018-12-20,88.4,89.7,87.72,89.46,508752
2018-12-21,89.46,89.56,87.92,88.7,891069
2018-12-27,89.4,89.7,88,88.5,278387
2018-12-28,88.58,89.76,88.2,88.88,236558
2019-01-02,88,89.44,86.12,89.18,517529
2019-01-03,88.4,89.08,86.12,86.12,536749
2019-01-04,87.5,88.58,87.4,88.42,495046
2019-01-07,88.98,90.66,88.82,90.66,415956
2019-01-08,90.2,90.68,89.2,89.64,416111
2019-01-09,90.5,92,90.28,92,804877
2019-01-10,91.58,92,91,92,272933
2019-01-11,92.46,93.36,89,89.96,563866
2019-01-14,89.14,89.9,88.06,89.74,351277
2019-01-15,90.54,91.74,89.92,91.44,435022
2019-01-16,91.8,92.56,89.4,91.74,415398
2019-01-17,91.74,91.9,90.6,91.52,323909
2019-01-18,91.8,92.9,90.74,92.48,602327
2019-01-21,91.88,92.9,90.52,91.2,308026
2019-01-22,90.66,91.28,90.12,90.98,397728
2019-01-23,90.6,91.54,90.46,90.9,447037
2019-01-24,90.7,91.98,90,91.6,407169
2019-01-25,91.98,92.46,91.04,92,546615
2019-01-28,91.94,92.3,90.94,91.88,295452
2019-01-29,91.9,94.48,91.18,92.9,891014
2019-01-30,92.9,94.9,92.64,93.32,773834
2019-01-31,94.42,94.9,93.74,94.16,714886
2019-02-01,93.84,95.9,93.56,95.9,517795
2019-02-04,95.7,96.88,94.6,95.74,482511
2019-02-05,96.5,99.14,96.24,99.14,754432
2019-02-06,99,99.96,97.7,98.38,486897
2019-02-07,97.78,97.98,96,96.6,408182
2019-02-08,96.46,96.58,94.44,94.44,538333
2019-02-11,94.58,96.08,92.5,92.5,745319
2019-02-12,93.36,95.36,93.36,95.36,604973
2019-02-13,95.56,96.58,95.14,96.38,608519
2019-02-14,96.56,97.4,92.56,93.5,712011
2019-02-15,93.5,96.18,93.44,95.46,498932
2019-02-18,96.2,96.46,94.86,95.74,561220
2019-02-19,95.74,96.42,94.82,96.3,535078
2019-02-20,96.5,99.6,96.5,99.6,1360174
2019-02-21,99.14,99.98,96.74,97.02,1211593
2019-02-22,97.64,99.88,97.28,99,1526815
2019-02-25,99.7,103.25,99.7,102.3,1325125
2019-02-26,102,103.2,101.15,102.45,905014
2019-02-27,102.1,102.8,100.75,100.8,837475
2019-02-28,100.55,102,99.66,101.3,745149
2019-03-01,101.95,102.8,101.1,101.5,424720
2019-03-04,101.5,101.85,99.92,101.2,271734
2019-03-05,100.6,102.95,100.55,101.6,535912
2019-03-06,101.5,104.15,101.5,103.95,560126
2019-03-07,103.9,103.9,101.4,102,383742
2019-03-08,100.75,101.4,98.62,98.8,831315
2019-03-11,98.52,100.8,98.52,99.6,423934
2019-03-12,100.5,101.75,99.74,101.6,799215
2019-03-13,101.15,102,100.85,101.4,569917
2019-03-14,101.4,101.95,99.72,100.95,480861
2019-03-15,100.15,102,99.02,101.1,1334948
2019-03-18,101.6,102.5,100.85,102,700735
2019-03-19,102,107.6,101.95,105.85,1298405
2019-03-20,105,106.25,103.55,105.75,353984
2019-03-21,106,107.2,105.4,106.25,446020
2019-03-22,105.85,106.3,103.1,103.5,685375
2019-03-25,103,105.15,102.35,103.45,414143
2019-03-26,103.5,104.95,103.5,104.95,326219
2019-03-27,104.4,105.5,103.85,104.45,320480
2019-03-28,104.5,105.8,104.5,105.2,274498
2019-03-29,105.9,107.8,105.85,107,1069205
2019-04-01,108,109.5,108,109.4,529365
2019-04-02,109,109.9,108.1,109.45,425605
2019-04-03,110.1,112,110.1,111.75,555007
2019-04-04,111.75,111.75,108.5,109.3,598814
2019-04-05,108.85,111,108.85,109.3,369266
2019-04-08,110,111.7,110,111.6,385235
2019-04-09,111.8,112.5,109.9,111.55,301515
2019-04-10,111.05,112.4,110.95,112,387835
2019-04-11,111.5,111.5,109.65,110.85,627167
2019-04-12,111.15,112,110.3,110.7,295360
2019-04-15,111,111.7,110.1,110.65,214622
2019-04-16,110.65,111,110,110.8,206980
2019-04-17,111.6,112,107.2,107.2,743936
2019-04-18,107.3,107.8,103.55,107.2,650612
2019-04-23,107.05,108.6,105.9,107.75,258760
2019-04-24,107.75,108.75,106.35,107.2,611346
2019-04-25,106.45,106.55,103.6,104.7,592942
2019-04-26,104.8,105.65,104.45,105.65,285868
2019-04-29,106.05,106.35,104.55,105.45,216510
2019-04-30,105.2,105.3,102.3,102.85,508239
2019-05-02,100.75,102.05,99.5,99.54,565142
2019-05-06,99,99.2,96.82,97.72,479282
2019-05-07,98.1,98.84,95.44,96.14,536268
2019-05-08,96.14,97.72,95.6,95.9,446828
2019-05-09,95.4,96.44,91.7,92.64,620722
2019-05-10,92.88,95.84,92.88,95.64,516608
2019-05-13,95.3,95.3,91.5,92.24,687962
2019-05-14,92.94,93.4,91.68,92.32,569685
2019-05-15,93.1,93.68,92.04,92.92,264158
2019-05-16,94.64,96.98,94.18,96.82,519642
2019-05-17,96.5,96.5,94.42,94.88,367624
2019-05-20,95,95.28,93.32,94.1,363487
2019-05-21,94,95.5,93.04,95.48,462614
2019-05-22,94.9,95.78,93.74,94.7,600648
2019-05-23,94,94.44,92,92.06,448982
2019-05-24,93.3,95.86,92.62,94.24,481302
2019-05-27,94.9,95.84,93.74,94.86,114173
2019-05-28,95,95.8,93.4,94.66,1007258
2019-05-29,93.7,94.58,93,93.7,573004
2019-05-30,93.34,95.3,93.34,93.96,597950
2019-05-31,93.16,95,92.1,95,767484
2019-06-03,95,97.32,94.16,96.1,461242
2019-06-04,95.9,97.14,95.5,96.84,374130
2019-06-05,96.58,96.84,93.4,93.52,597806
2019-06-06,94.06,95.1,93.7,94.76,304555
2019-06-07,94.94,95.44,92.52,93.1,608394
2019-06-10,93.78,95.44,93,95.44,319353
