Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-10-30,7.6,7.6,7,7.2,3048
2018-10-31,7.2,7.5,7.2,7.5,2
2018-11-02,7.2,7.68,7.2,7.68,6096
2018-11-05,7.68,8,7.34,7.42,4414
2018-11-06,7.42,7.42,7.08,7.08,3070
2018-11-07,7.36,7.36,6.82,6.94,3298
2018-11-08,6.94,6.94,6.88,6.94,12
2018-11-09,6.94,6.94,6.64,6.9,1405
2018-11-13,6.94,6.94,6.5,6.6,3270
2018-11-14,6.68,6.98,6.46,6.72,4782
2018-11-15,6.76,6.76,6.72,6.72,2
2018-11-16,6.76,6.76,6.68,6.68,2
2018-11-19,6.76,6.76,6.2,6.3,2602
2018-11-20,6.3,6.46,6.22,6.36,2493
2018-11-21,6.36,6.36,6.04,6.06,2189
2018-11-22,6.6,6.6,6.6,6.6,1
2018-11-23,6.88,6.9,6.36,6.9,1283
2018-11-26,6.5,6.64,6.22,6.64,482
2018-11-27,6.78,6.8,6.48,6.76,3655
2018-11-28,6.76,6.78,6.76,6.78,2
2018-11-29,6.78,6.78,6.78,6.78,2
2018-11-30,6.78,6.78,6.72,6.72,102
2018-12-03,6.78,6.78,6.76,6.76,2
2018-12-04,6.76,6.76,6.72,6.72,2
2018-12-05,6.78,6.78,6.74,6.74,2
2018-12-06,6.78,6.78,6.74,6.74,2
2018-12-07,6.72,6.72,6.46,6.68,272
2018-12-10,6.7,6.7,6.6,6.6,202
2018-12-11,6.6,6.6,6.46,6.6,1542
2018-12-12,6.6,6.6,6.32,6.56,134
2018-12-13,6.6,6.6,6.56,6.56,2
2018-12-14,6.56,6.6,6.56,6.6,981
2018-12-17,6.6,6.6,6.34,6.54,72
2018-12-18,6.6,6.6,6.2,6.24,3452
2018-12-19,6.24,6.24,6.02,6.24,521
2018-12-20,6.14,6.14,6.02,6.14,2410
2018-12-21,6.14,6.14,6.02,6.14,1251
2018-12-27,6.24,6.24,6.24,6.24,2
2018-12-28,6.5,6.5,5.96,6,8029
2019-01-02,5.96,5.96,5.9,5.9,2
2019-01-03,5.9,5.9,5.9,5.9,2
2019-01-04,5.9,5.9,5.9,5.9,12
2019-01-07,5.9,5.9,5.74,5.9,149
2019-01-08,5.9,5.9,5.9,5.9,2
2019-01-09,5.9,5.9,5.8,5.8,2
2019-01-10,5.9,5.9,5.9,5.9,1142
2019-01-11,5.98,6,5.82,6,796
2019-01-14,6,6,6,6,2
2019-01-15,6,6,5.9,5.9,2
2019-01-16,6,6,6,6,2
2019-01-17,6,6,6,6,2
2019-01-18,6,6.5,5.96,6,2103
2019-01-21,6,6,5.86,6,102
2019-01-22,6.3,6.3,5.94,6.08,502
2019-01-23,6.3,6.3,5.96,6.1,1333
2019-01-24,6.3,6.3,6.1,6.1,2
2019-01-25,6.3,6.3,6.1,6.1,2
2019-01-28,6.1,6.1,6.1,6.1,1
2019-01-29,6.1,6.1,6.1,6.1,2
2019-01-30,6.1,6.1,6.1,6.1,2
2019-01-31,6.1,6.24,6.08,6.24,2552
2019-02-01,6.24,6.24,6.24,6.24,2
2019-02-04,6.28,6.32,6.28,6.32,1702
2019-02-05,6.2,6.2,6.2,6.2,11
2019-02-06,6.44,6.44,6.4,6.4,2
2019-02-07,6.44,6.44,6.44,6.44,2
2019-02-08,6.44,6.44,6.2,6.2,21
2019-02-11,6.44,6.44,6.38,6.38,3
2019-02-12,6.7,6.7,6.44,6.44,2
2019-02-13,6.62,6.62,6.44,6.44,3
2019-02-14,6.76,6.76,6.16,6.76,2002
2019-02-15,6.7,6.7,6.7,6.7,1
2019-02-18,6.72,6.72,6.72,6.72,1
2019-02-19,6.74,6.74,6.74,6.74,3
2019-02-20,6.74,6.74,6.74,6.74,5
2019-02-21,6.74,6.74,6.74,6.74,5
2019-02-22,6.74,6.74,6.74,6.74,5
2019-02-25,6.72,6.72,6.34,6.6,3007
2019-02-26,6.72,6.72,6.32,6.32,2593
2019-02-27,6.58,6.58,6.34,6.34,11
2019-02-28,6.32,6.32,6.32,6.32,10
2019-03-01,6.5,6.5,6.32,6.32,341
2019-03-04,6.72,6.72,6.12,6.12,149
2019-03-05,6.36,6.36,6.36,6.36,5
2019-03-06,6.3,6.3,6.3,6.3,5
2019-03-07,6.3,6.3,6.06,6.06,1024
2019-03-08,6.3,6.3,6.06,6.1,4670
2019-03-11,6.24,6.24,6.24,6.24,5
2019-03-12,6.24,6.24,6.24,6.24,194
2019-03-13,6.24,6.24,6.24,6.24,5
2019-03-14,6.24,6.24,6.24,6.24,5
2019-03-15,6.22,6.22,6.22,6.22,5
2019-03-18,6.24,6.24,6.16,6.16,355
2019-03-19,6.16,6.24,6.02,6.02,2470
2019-03-20,6.22,6.22,5.96,5.96,3417
2019-03-21,6.2,6.2,5.82,5.96,227
2019-03-22,6.2,6.2,5.98,5.98,1290
2019-03-25,6.18,6.18,6,6,1960
2019-03-26,6.18,6.2,5.96,5.96,7054
2019-03-27,6.14,6.14,6,6,3120
2019-03-28,6.2,6.2,6.16,6.18,1011
2019-03-29,6.2,6.2,6.02,6.16,373
2019-04-01,6.3,6.3,6.15,6.25,4880
2019-04-02,6.25,6.25,6.05,6.05,2807
2019-04-03,6.2,7.15,6.2,6.65,47137
2019-04-04,6.6,6.6,6,6.1,31308
2019-04-05,6.25,6.45,6.1,6.4,3630
2019-04-08,6.45,6.45,6.15,6.15,6661
2019-04-09,6.35,6.35,6.2,6.2,521
2019-04-10,6.35,6.4,6.2,6.4,1714
2019-04-11,6.4,6.4,6.3,6.3,1306
2019-04-12,6.4,6.4,6.3,6.4,429
2019-04-15,6.2,6.35,6.2,6.35,355
2019-04-16,6.4,6.4,6.2,6.2,496
2019-04-17,6.4,6.4,6.15,6.4,1172
2019-04-18,6.35,6.35,6.35,6.35,6
2019-04-23,6.35,6.35,6.35,6.35,823
2019-04-24,6.4,6.4,6.05,6.1,4678
2019-04-25,6.4,6.4,5.9,5.9,2500
