Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-10-30,5.9629,6.0501,5.895,6.021,3715375
2018-10-31,6.0987,6.1374,5.9919,6.0695,6390115
2018-11-02,6.1083,6.1568,6.0792,6.1568,3601114
2018-11-05,6.0987,6.2343,6.0987,6.2343,2937269
2018-11-06,6.2053,6.2537,6.1471,6.2537,2190374
2018-11-07,6.2053,6.341,6.1956,6.2343,4057612
2018-11-08,6.2634,6.3798,6.2634,6.3701,2662130
2018-11-09,6.3216,6.3313,6.089,6.1083,2482384
2018-11-13,6.1083,6.2053,6.1083,6.1665,2611766
2018-11-14,6.1665,6.1665,6.0113,6.118,4804427
2018-11-15,6.1083,6.1859,5.9435,5.9823,2829784
2018-11-16,6.0016,6.1277,6.0016,6.0598,3412511
2018-11-19,6.089,6.1471,6.0113,6.0598,3849560
2018-11-20,6.0598,6.0987,5.8659,5.8756,4185135
2018-11-21,5.9629,6.0792,5.9144,6.0792,6249521
2018-11-22,6.0695,6.3022,6.0307,6.2925,2788233
2018-11-23,6.3317,6.3317,6.1259,6.1455,1153919
2018-11-26,6.2043,6.2337,6.1455,6.1553,1523993
2018-11-27,6.2043,6.2337,5.9985,6.0965,3068687
2018-11-28,6.1259,6.2239,6.1161,6.1749,3137165
2018-11-29,6.2141,6.2239,6.1161,6.2043,3951433
2018-11-30,6.2141,6.3709,6.1749,6.3219,8847350
2018-12-03,6.3709,6.616,6.3611,6.5376,9350930
2018-12-04,6.518,6.714,6.4886,6.6258,9554227
2018-12-05,6.567,6.6944,6.5278,6.6944,7180338
2018-12-06,6.6356,6.714,6.6062,6.6552,5835833
2018-12-07,6.6944,6.9296,6.6552,6.861,6122765
2018-12-10,6.812,6.8218,6.665,6.7336,3178514
2018-12-11,6.714,6.7434,6.5572,6.6062,4339316
2018-12-12,6.5768,6.8218,6.4494,6.4494,5244668
2018-12-13,6.5278,6.6944,6.4199,6.616,5218363
2018-12-14,6.6062,6.8022,6.5964,6.763,4205002
2018-12-17,6.7434,6.8316,6.616,6.6454,5219541
2018-12-18,6.6258,6.7336,6.5376,6.5866,7524049
2018-12-19,6.5866,6.6944,6.567,6.5964,4139440
2018-12-20,6.5964,6.812,6.5768,6.7728,6682577
2018-12-21,6.763,6.8022,6.469,6.6552,22708052
2018-12-27,6.7336,6.8022,6.6454,6.7238,3281264
2018-12-28,6.7238,6.7924,6.6846,6.7728,2345574
2019-01-02,6.763,6.861,6.6846,6.861,3642113
2019-01-03,6.8316,6.8512,6.714,6.7924,3932677
2019-01-04,6.8022,6.8218,6.7238,6.7826,3326905
2019-01-07,6.812,7.1158,6.7924,7.1158,7900302
2019-01-08,7.0962,7.106,6.861,6.9492,6704480
2019-01-09,6.9492,7.2335,6.8708,7.1747,9642919
2019-01-10,7.1158,7.1747,7.0472,7.1551,4600827
2019-01-11,7.1551,7.2629,7.008,7.0668,4454251
2019-01-14,7.008,7.1158,6.9884,7.1158,3349137
2019-01-15,7.0766,7.1453,7.008,7.0766,2524888
2019-01-16,7.106,7.3413,7.0766,7.3413,4608097
2019-01-17,7.3021,7.3413,7.2041,7.2727,3866926
2019-01-18,7.2825,7.3217,7.2237,7.2629,4361437
2019-01-21,7.2629,7.3021,7.1453,7.1453,1882206
2019-01-22,7.106,7.2531,7.106,7.2041,3484761
2019-01-23,7.1943,7.3609,7.1453,7.3609,5107368
2019-01-24,7.3413,7.4295,7.3217,7.3903,4468258
2019-01-25,7.3903,7.4099,7.2433,7.3511,4071597
2019-01-28,7.3511,7.3903,7.1943,7.2531,2992526
2019-01-29,7.2531,7.3413,7.1453,7.2531,3722982
2019-01-30,7.2825,7.3903,7.2825,7.3903,4573038
2019-01-31,7.3903,7.5373,7.3707,7.4785,4957919
2019-02-01,7.4491,7.4981,7.3805,7.4001,2371148
2019-02-04,7.3805,7.5765,7.3805,7.4197,3268305
2019-02-05,7.4883,7.5373,7.3707,7.5079,2853977
2019-02-06,7.5373,7.5765,7.4099,7.4687,2990176
2019-02-07,7.4393,7.5373,7.2237,7.2237,3781116
2019-02-08,7.2335,7.3315,7.0962,7.0962,4464529
2019-02-11,7.1551,7.3119,7.106,7.106,3930306
2019-02-12,7.1551,7.2041,7.057,7.1453,4718806
2019-02-13,7.1551,7.2335,7.0472,7.1158,4058065
2019-02-14,6.8512,6.8512,6.5572,6.6944,16164309
2019-02-15,6.6846,6.7728,6.6748,6.763,3485271
2019-02-18,6.7826,6.8316,6.6356,6.7238,3466225
2019-02-19,6.7532,6.7924,6.6258,6.7336,3594091
2019-02-20,6.7826,6.9982,6.7532,6.959,5160528
2019-02-21,6.959,7.057,6.7826,6.8512,4785321
2019-02-22,6.861,7.057,6.861,6.9296,5766376
2019-02-25,6.9786,7.0178,6.861,6.91,2500708
2019-02-26,6.9198,6.959,6.861,6.9002,2876462
2019-02-27,6.8806,6.9002,6.6552,6.665,3689362
2019-02-28,6.714,6.8218,6.6062,6.7826,9139585
2019-03-01,6.7532,6.7924,6.6356,6.6356,2895178
2019-03-04,6.6993,6.714,6.3219,6.4494,4489119
2019-03-05,6.4935,6.6454,6.469,6.5474,2975439
2019-03-06,6.5572,6.6356,6.469,6.5327,2201323
2019-03-07,6.4935,6.5474,6.3709,6.4101,3999618
2019-03-08,6.3709,6.4494,6.3219,6.3905,3584642
2019-03-11,6.3954,6.4297,6.3219,6.3464,4862179
2019-03-12,6.3856,6.3856,6.2337,6.2925,6258962
2019-03-13,6.2925,6.2925,6.1749,6.1749,6357920
2019-03-14,6.1945,6.3219,6.1406,6.2729,6288220
2019-03-15,6.3072,6.3611,6.2239,6.2729,14638377
2019-03-18,6.2729,6.3366,6.2533,6.3366,4260737
2019-03-19,6.3219,6.366,6.1112,6.121,7155205
2019-03-20,6.1553,6.1602,6.0769,6.0965,5053065
2019-03-21,6.0965,6.2974,6.0916,6.2974,3296389
2019-03-22,6.3121,6.3121,6.1455,6.17,3271057
2019-03-25,6.1651,6.1945,6.0769,6.0916,2651519
2019-03-26,6.121,6.121,5.9985,6.0573,3021415
2019-03-27,6.0573,6.0867,5.9985,6.0573,2377127
2019-03-28,6.1308,6.2043,6.1161,6.17,4172814
2019-03-29,6.17,6.1945,6.0867,6.1308,5987848
2019-04-01,6.1847,6.3219,6.1602,6.1798,4430554
2019-04-02,6.1847,6.2827,6.1259,6.268,4132526
2019-04-03,6.2876,6.366,6.2337,6.3317,5226287
2019-04-04,6.3219,6.3219,6.1847,6.1994,4776802
2019-04-05,6.2092,6.2631,6.1161,6.1161,4697755
2019-04-08,6.1504,6.2337,6.1455,6.2288,2966757
2019-04-09,6.2288,6.2533,6.1504,6.1847,2018968
2019-04-10,6.17,6.2631,6.0965,6.2386,3013989
2019-04-11,6.2533,6.2533,6.0769,6.0818,2886905
2019-04-12,6.1161,6.1455,6.0279,6.0426,2656259
2019-04-15,6.0426,6.0671,5.9789,6.0083,2577207
2019-04-16,6.0083,6.0622,5.9838,6.0622,3225106
2019-04-17,6.0916,6.1651,6.0573,6.0573,5976920
2019-04-18,6.0426,6.0426,5.8368,5.9348,6708441
2019-04-23,5.9936,6.0034,5.7731,5.7731,2515368
2019-04-24,5.7829,5.8515,5.7044,5.8172,4100689
2019-04-25,5.8417,5.8417,5.724,5.778,4138627
2019-04-26,5.7731,5.7878,5.7142,5.7436,2778528
2019-04-29,5.7829,5.8172,5.6015,5.6064,3864351
2019-04-30,5.6015,5.724,5.5623,5.6848,4510172
2019-05-02,5.6848,5.7338,5.6456,5.6652,3622023
2019-05-06,5.5868,5.6456,5.5378,5.5623,3101752
