Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-10-30,37.861,38.374,37.59,38.142,1255570
2018-10-31,38.442,38.8,38.103,38.655,2934787
2018-11-02,39.033,39.623,38.946,39.101,1619622
2018-11-05,39.284,40.224,39.255,40.194,2520655
2018-11-06,40.388,40.466,39.497,39.778,1583217
2018-11-07,39.846,41.017,39.807,40.737,2592692
2018-11-08,40.843,41.104,40.291,40.804,2685305
2018-11-09,40.669,40.921,40.165,40.388,2710349
2018-11-13,40.175,40.717,39.643,40.069,2898171
2018-11-14,40.069,40.446,39.701,40.059,2666766
2018-11-15,40.224,40.611,38.994,39.033,2381658
2018-11-16,39.207,39.333,36.196,36.69,10062814
2018-11-19,37.077,37.89,35.732,37.89,4041008
2018-11-20,37.89,38.316,37.087,37.658,2372332
2018-11-21,37.852,38.568,37.561,38.491,2664291
2018-11-22,38.384,38.607,38.026,38.191,1127573
2018-11-23,38.045,38.617,37.987,38.617,748063
2018-11-26,38.462,39.159,38.113,38.452,1269890
2018-11-27,38.626,38.946,38.171,38.81,1925987
2018-11-28,38.791,39.662,38.742,39.546,2215905
2018-11-29,39.691,40.369,39.449,40.369,2461608
2018-11-30,40.049,40.146,39.023,39.604,3025406
2018-12-03,40.253,40.485,40.02,40.243,1371698
2018-12-04,40.136,40.62,39.991,40.62,3256783
2018-12-05,39.923,40.466,39.749,40.466,2099925
2018-12-06,40.001,40.136,39.13,39.323,2533768
2018-12-07,39.478,39.923,38.704,38.752,1413095
2018-12-10,38.723,39.188,38.239,38.239,1387881
2018-12-11,38.549,38.704,37.193,37.193,2993390
2018-12-12,37.416,38.975,37.387,38.771,2273726
2018-12-13,39.12,39.401,38.481,39.207,2843406
2018-12-14,39.013,39.633,38.917,39.556,3679573
2018-12-17,39.275,39.643,39.159,39.623,1659854
2018-12-18,39.255,40.272,39.226,40.272,2729448
2018-12-19,40.098,40.32,39.943,40.262,1813609
2018-12-20,40.04,40.04,38.994,39.314,1824312
2018-12-21,39.294,39.294,37.707,37.978,6084983
2018-12-27,38.578,38.829,38.084,38.142,1537553
2018-12-28,38.326,38.723,38.045,38.21,1103635
2019-01-02,38.239,39.207,37.813,39.207,1409540
2019-01-03,38.646,38.839,38.045,38.307,1900704
2019-01-04,38.675,39.556,38.558,39.159,2310382
2019-01-07,39.401,39.759,39.217,39.594,3240708
2019-01-08,39.497,39.594,39.11,39.401,3946271
2019-01-09,39.497,39.556,38.849,39.13,3840789
2019-01-10,38.829,39.091,38.132,38.336,4263418
2019-01-11,38.51,38.771,37.987,38.229,5338484
2019-01-14,38.142,38.452,37.997,38.239,2168213
2019-01-15,38.433,38.771,38.287,38.626,3311143
2019-01-16,38.81,38.917,38.181,38.578,2381268
2019-01-17,38.578,38.946,38.21,38.529,3821050
2019-01-18,38.626,39.333,38.626,39.284,8006340
2019-01-21,39.304,39.381,38.859,39.207,1118220
2019-01-22,38.868,39.633,38.868,39.11,2857206
2019-01-23,39.062,40.156,39.042,39.875,4860589
2019-01-24,40.146,40.611,39.691,40.272,3037513
2019-01-25,40.466,40.466,39.033,39.139,4240681
2019-01-28,39.207,39.207,37.658,38.2,5905777
2019-01-29,38.239,38.849,37.832,38.578,2607894
2019-01-30,38.442,38.52,37.668,37.726,3573483
2019-01-31,38.045,38.5,37.668,38.249,3033687
2019-02-01,38.336,38.51,37.919,38.51,913123
2019-02-04,38.413,38.597,38.103,38.249,1336533
2019-02-05,38.423,38.684,38.297,38.684,1377340
2019-02-06,38.723,39.149,38.539,39.013,1562285
2019-02-07,38.733,39.052,38.171,38.229,1321432
2019-02-08,38.055,38.249,37.619,37.619,2225958
2019-02-11,37.852,38.258,37.677,38.113,1381276
2019-02-12,38.239,38.617,37.997,38.549,1246247
2019-02-13,38.626,38.626,37.658,38.026,1721105
2019-02-14,38.171,38.2,37.368,37.61,1346400
2019-02-15,37.6,38.374,37.416,38.152,1961753
2019-02-18,38.152,38.326,37.571,37.707,1342869
2019-02-19,37.658,37.755,37.116,37.648,2644128
2019-02-20,37.852,38.558,37.765,38.481,1812349
2019-02-21,38.345,38.742,37.658,37.658,1985680
2019-02-22,37.765,38.229,37.561,37.726,2032411
2019-02-25,37.852,38.094,37.222,37.464,2430075
2019-02-26,37.503,37.658,37.252,37.29,2695542
2019-02-27,37.271,37.59,36.855,37.058,2048015
2019-02-28,37.077,37.242,36.593,36.826,4009634
2019-03-01,37.145,37.3,36.419,36.787,4603362
2019-03-04,37.271,37.552,37.077,37.416,2552601
2019-03-05,37.397,37.532,36.874,36.903,1765949
2019-03-06,36.961,37.135,36.845,36.961,3111030
2019-03-07,37.068,37.416,36.709,36.729,2470691
2019-03-08,36.603,37.048,36.545,37.019,1056470
2019-03-11,37.048,37.155,36.893,36.971,1750386
2019-03-12,37.271,37.31,36.826,36.835,1479822
2019-03-13,36.797,37.252,36.642,37.029,1595482
2019-03-14,37.077,37.329,37,37.271,840025
2019-03-15,37.271,38.278,37.252,37.939,6206133
2019-03-18,37.832,38.016,37.464,37.532,1269403
2019-03-19,37.532,37.871,37.474,37.726,1184434
2019-03-20,37.6,38.365,37.6,38.326,1582978
2019-03-21,38.142,38.433,38.055,38.433,1337338
