Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-10-30,35.539,35.604,34.934,35.353,1091140
2018-10-31,35.678,36.45,35.678,36.45,2888395
2018-11-02,36.795,37.92,36.795,37.771,2606992
2018-11-05,37.585,38.246,37.418,38.125,1283759
2018-11-06,38.302,38.469,37.632,37.678,929509
2018-11-07,37.697,39.12,37.697,38.981,1970024
2018-11-08,39.065,39.372,38.432,38.702,1704113
2018-11-09,38.702,39.093,38.274,38.739,1320413
2018-11-13,38.711,38.953,37.818,38.032,2081782
2018-11-14,37.976,38.739,37.567,38.478,1852558
2018-11-15,38.813,38.934,37.967,38.069,1437122
2018-11-16,38.227,38.646,36.422,36.943,4839911
2018-11-19,37.213,37.771,36.292,36.748,1869786
2018-11-20,36.757,37.716,36.357,37.585,2212066
2018-11-21,37.771,38.851,37.678,38.851,1989231
2018-11-22,38.674,38.916,38.032,38.404,994673
2018-11-23,38.423,38.599,37.79,38.423,747446
2018-11-26,38.432,38.795,38.144,38.516,760625
2018-11-27,38.376,38.73,37.65,38.711,1474835
2018-11-28,38.72,39.381,38.339,39.167,2046331
2018-11-29,39.4,39.958,39.26,39.958,2031661
2018-11-30,39.911,39.911,38.674,39.883,2661940
2018-12-03,40.283,40.758,40.023,40.423,2494188
2018-12-04,40.237,40.776,39.874,40.748,2265786
2018-12-05,40.06,40.907,39.669,40.907,1711153
2018-12-06,40.376,40.395,39.827,40.19,2058929
2018-12-07,40.246,41.046,39.762,39.874,2612478
2018-12-10,39.865,40.162,39.167,39.167,1087544
2018-12-11,39.474,40.469,39.39,39.707,1580649
2018-12-12,39.725,40.423,39.427,40.283,1639121
2018-12-13,40.376,41.102,40.283,41.102,2555478
2018-12-14,40.888,40.888,40.283,40.497,1758644
2018-12-17,40.423,41.297,40.283,40.842,1335543
2018-12-18,40.469,41.251,40.218,41.251,2230896
2018-12-19,40.99,41.679,40.972,41.493,2221465
2018-12-20,41.102,41.111,40.525,40.86,1354053
2018-12-21,40.693,41.018,39.651,40.423,3123482
2018-12-27,40.46,40.981,39.893,40.079,860806
2018-12-28,40.172,40.842,40.116,40.842,841221
2019-01-02,40.665,41.26,40.023,41.26,1035140
2019-01-03,40.86,41.093,39.958,40.153,1448638
2019-01-04,40.386,41.279,40.33,41.279,1358143
2019-01-07,41.223,41.325,40.804,41.288,1832680
2019-01-08,41.288,41.456,40.479,41.214,2347652
2019-01-09,41.307,41.586,41.13,41.307,2253614
2019-01-10,41.111,41.251,40.748,41.139,1682788
2019-01-11,41.4,41.679,40.99,41.409,2289823
2019-01-14,40.944,41.465,40.562,40.748,2253470
2019-01-15,41.121,41.13,40.376,40.702,1659191
2019-01-16,40.86,41.279,40.618,41.232,2247695
2019-01-17,41.065,41.4,40.786,41.344,3030942
2019-01-18,41.4,41.586,40.553,41.028,2785147
2019-01-21,41.028,41.083,40.469,40.748,961368
2019-01-22,40.721,40.925,39.986,40.469,2457436
2019-01-23,40.414,41.586,40.395,41.232,4767850
2019-01-24,41.4,42.144,41.381,42.144,3068393
