Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-10-30,1.16,1.23,1.15,1.21,205241
2018-10-31,1.21,1.21,1.16,1.16,116273
2018-11-02,1.15,1.2,1.15,1.18,139442
2018-11-05,1.18,1.18,1.16,1.17,57308
2018-11-06,1.18,1.18,1.15,1.16,34302
2018-11-07,1.17,1.54,1.14,1.3,1959754
2018-11-08,1.3,1.3,1.17,1.18,529840
2018-11-09,1.18,1.19,1.14,1.16,115422
2018-11-13,1.16,1.18,1.15,1.17,63657
2018-11-14,1.16,1.17,1.13,1.15,133377
2018-11-15,1.15,1.15,1.11,1.13,169098
2018-11-16,1.13,1.13,1.11,1.12,57315
2018-11-19,1.12,1.14,1.11,1.12,136260
2018-11-20,1.13,1.18,1.12,1.12,186786
2018-11-21,1.18,1.18,1.1,1.12,138105
2018-11-22,1.13,1.14,1.08,1.13,102304
2018-11-23,1.13,1.22,1.11,1.16,465068
2018-11-26,1.19,1.19,1.13,1.15,210957
2018-11-27,1.15,1.17,1.14,1.16,66550
2018-11-28,1.14,1.16,1.13,1.13,97655
2018-11-29,1.15,1.15,1.12,1.14,68865
2018-11-30,1.15,1.16,1.13,1.16,162456
2018-12-03,1.16,1.18,1.14,1.15,84716
2018-12-04,1.16,1.18,1.13,1.15,49068
2018-12-05,1.14,1.17,1.14,1.16,68373
2018-12-06,1.16,1.17,1.14,1.17,67929
2018-12-07,1.17,1.18,1.15,1.15,27548
2018-12-10,1.17,1.28,1.15,1.19,487745
2018-12-11,1.2,1.2,1.16,1.18,127482
2018-12-12,1.19,1.21,1.15,1.17,207775
2018-12-13,1.16,1.17,1.14,1.15,97217
2018-12-14,1.14,1.17,1.14,1.17,155986
2018-12-17,1.15,1.17,1.13,1.16,84003
2018-12-18,1.16,1.17,1.14,1.15,152227
2018-12-19,1.14,1.16,1.12,1.16,196255
2018-12-20,1.12,1.14,1.1,1.12,295702
2018-12-21,1.12,1.15,1.09,1.12,300494
2018-12-27,1.12,1.14,1.1,1.12,191172
2018-12-28,1.12,1.13,1.11,1.12,21780
2019-01-02,1.12,1.13,1.11,1.13,29786
2019-01-03,1.13,1.13,1.09,1.1,251831
2019-01-04,1.1,1.15,1.1,1.14,132752
2019-01-07,1.11,1.13,1.1,1.12,254383
2019-01-08,1.11,1.13,1.11,1.13,126368
2019-01-09,1.12,1.13,1.11,1.13,117078
2019-01-10,1.12,1.12,1.08,1.09,430492
2019-01-11,1.09,1.09,1.02,1.04,578891
2019-01-14,1.04,1.04,0.97,0.99,580291
2019-01-15,1,1.04,0.98,1.03,132030
2019-01-16,1.05,1.07,1.02,1.03,161535
2019-01-17,1.03,1.03,1,1.01,103738
2019-01-18,1.03,1.09,1,1.03,549679
2019-01-21,1.03,1.04,0.99,0.99,194856
2019-01-22,0.99,0.99,0.93,0.97,411312
2019-01-23,0.94,0.99,0.91,0.97,671981
2019-01-24,0.97,0.98,0.89,0.94,563687
2019-01-25,0.93,0.95,0.92,0.95,175418
2019-01-28,0.95,0.95,0.93,0.93,121348
2019-01-29,0.95,0.98,0.93,0.96,174873
2019-01-30,0.97,0.98,0.95,0.96,220023
2019-01-31,0.94,0.95,0.93,0.94,69611
2019-02-01,0.93,0.94,0.88,0.9,485196
2019-02-04,0.92,0.92,0.86,0.87,311336
2019-02-05,0.85,0.85,0.82,0.85,345047
2019-02-06,0.84,0.87,0.81,0.85,239928
2019-02-07,0.85,0.86,0.83,0.84,147068
2019-02-08,0.83,0.83,0.78,0.8,324383
2019-02-11,0.79,0.81,0.74,0.78,1132722
2019-02-12,0.8,1.08,0.8,1.08,4489455
2019-02-13,0.99,1.04,0.9,0.98,3902989
2019-02-14,0.96,0.96,0.86,0.86,1076597
2019-02-15,0.86,0.93,0.83,0.88,869193
2019-02-18,0.88,1.05,0.87,0.94,1803524
2019-02-19,0.96,1.1,0.93,1.09,2548465
2019-02-20,1.08,1.24,1.05,1.15,3615365
2019-02-21,1.14,1.16,1.07,1.11,908368
2019-02-22,1.1,1.14,1.09,1.09,688543
2019-02-25,1.08,1.12,0.98,0.98,2230631
2019-02-26,0.92,0.94,0.88,0.9,1395518
2019-02-27,0.9,0.91,0.87,0.88,531541
2019-02-28,0.89,0.94,0.88,0.91,519082
2019-03-01,0.91,0.94,0.9,0.91,226743
2019-03-04,0.92,0.92,0.89,0.907,194462
2019-03-05,0.917,0.92,0.896,0.897,177519
2019-03-06,0.895,0.896,0.87,0.895,87612
2019-03-07,0.88,0.89,0.84,0.88,248778
2019-03-08,0.88,0.955,0.85,0.92,861358
2019-03-11,0.918,0.944,0.88,0.888,533905
2019-03-12,0.883,0.904,0.877,0.89,161567
2019-03-13,0.898,0.899,0.875,0.89,296329
2019-03-14,0.896,0.896,0.86,0.89,120148
2019-03-15,0.89,1.1,0.87,1.01,3271059
2019-03-18,1.03,1.048,0.99,1.01,1302881
2019-03-19,1.012,1.042,0.98,1.01,387443
2019-03-20,1.012,1.08,1.002,1.03,516228
2019-03-21,1.044,1.044,0.99,1,307383
2019-03-22,0.99,1.018,0.99,1.002,145793
2019-03-25,0.991,1,0.983,0.983,258421
2019-03-26,0.99,1.008,0.984,1.004,56378
2019-03-27,1,1.006,0.986,1,84913
2019-03-28,1.006,1.006,0.98,0.99,130261
2019-03-29,0.982,1.088,0.971,0.993,1049567
2019-04-01,1,1.01,0.985,1.01,165678
2019-04-02,1,1.06,0.99,1.04,346518
2019-04-03,1.03,1.05,1.01,1.04,172149
2019-04-04,1.03,1.17,1,1.08,1818263
2019-04-05,1.14,1.29,1.11,1.21,2974763
2019-04-08,1.2,1.24,1.13,1.16,1706904
2019-04-09,1.09,1.09,0.985,1.03,2140873
2019-04-10,1.04,1.08,1.03,1.05,625206
2019-04-11,1.05,1.08,1.03,1.03,712304
2019-04-12,1.04,1.04,0.99,1,521134
2019-04-15,1,1.02,0.99,1,240617
