Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-10-30,9.3224,9.544,9.3224,9.4381,3456
2018-10-31,9.544,9.544,9.3609,9.3995,10625
2018-11-02,9.544,9.592,9.4477,9.515,10302
2018-11-05,9.621,9.631,9.4477,9.573,2942
2018-11-06,9.583,9.592,9.4574,9.544,6624
2018-11-07,9.544,9.631,9.4574,9.525,2884
2018-11-08,9.4959,9.506,9.4092,9.4092,2227
2018-11-09,9.4381,9.4381,9.0621,9.1489,15579
2018-11-13,9.1585,9.2453,9.0621,9.1971,1932
2018-11-14,9.93,9.93,9.4477,9.592,10829
2018-11-15,9.534,9.534,9.3899,9.4284,3634
2018-11-16,9.4477,9.4477,9.226,9.2935,8364
2018-11-19,9.3031,9.641,9.1103,9.1489,57440
2018-11-20,9.3995,9.621,9.1199,9.1489,27550
2018-11-21,9.2067,9.2356,9.0717,9.1007,388126
2018-11-22,9.1585,9.1585,9.091,9.1199,8800
2018-11-23,9.1585,9.1585,8.4451,8.5801,211255
2018-11-26,8.744,8.744,8.4644,8.4837,59208
2018-11-27,8.5126,8.5415,8.2908,8.3583,40753
2018-11-28,8.3391,8.3776,8.3198,8.3391,19606
2018-11-29,8.3005,8.6283,8.2716,8.6186,76060
2018-11-30,8.7247,9.091,8.7247,9.0042,80051
2018-12-03,9.1103,9.3417,9.1103,9.1103,32442
2018-12-04,9.2742,9.2935,9.1585,9.2935,8830
2018-12-05,9.1971,9.563,9.1296,9.4959,42305
2018-12-06,9.554,9.563,9.3417,9.4092,11271
2018-12-07,9.554,9.621,9.3513,9.3513,11134
2018-12-10,9.3513,9.3513,9.1874,9.332,16977
2018-12-11,9.3513,10.277,9.3513,9.737,64091
2018-12-12,9.93,10.392,9.93,10.18,92646
2018-12-13,10.392,10.392,9.949,9.968,44294
2018-12-14,9.968,9.968,9.66,9.756,12110
2018-12-17,9.775,9.775,9.467,9.4863,47668
2018-12-18,9.4863,9.718,9.4477,9.641,33513
2018-12-19,9.4477,9.641,9.4477,9.631,19073
2018-12-20,9.583,9.583,9.3899,9.4863,18777
2018-12-21,9.4863,9.573,9.2549,9.3995,16175
2018-12-27,9.3513,9.4959,9.2549,9.2838,7710
2018-12-28,9.3706,9.621,9.0621,9.525,28658
2019-01-02,9.1007,9.515,9.1007,9.3513,2513
2019-01-03,9.2838,9.4284,9.2549,9.2549,4110
2019-01-04,9.2067,9.4381,9.1007,9.3995,4781
2019-01-07,9.3899,9.4381,9.3899,9.4381,6458
2019-01-08,9.4477,9.4766,9.2742,9.3513,8142
2019-01-09,9.641,9.756,9.4863,9.612,111567
2019-01-10,9.641,9.641,9.4477,9.641,11437
2019-01-11,9.621,9.631,9.4477,9.4959,10988
2019-01-14,9.544,9.544,9.4092,9.4863,19461
2019-01-15,9.3995,9.4284,9.2549,9.3513,40581
2019-01-16,9.4477,9.4959,9.2645,9.3995,6333
2019-01-17,9.3995,9.833,9.226,9.4863,118345
2019-01-18,9.4863,9.631,9.4092,9.4092,5186
2019-01-21,9.4092,9.4092,9.2549,9.3031,7042
2019-01-22,9.3127,9.4766,9.2645,9.4092,7661
2019-01-23,9.4477,10.026,9.4477,9.66,172178
2019-01-24,9.641,10.123,9.641,9.93,97436
2019-01-25,10.026,10.123,9.968,10.123,34576
2019-01-28,10.219,11.087,10.219,10.855,138751
2019-01-29,10.894,10.894,10.315,10.566,31968
2019-01-30,10.624,10.797,10.373,10.412,11816
2019-01-31,10.605,10.605,10.335,10.489,10657
2019-02-01,10.585,11.279,10.412,11.279,97361
2019-02-04,11.569,11.8,11.569,11.569,135777
2019-02-05,11.665,11.761,11.569,11.704,217478
2019-02-06,11.742,11.781,11.376,11.472,23476
2019-02-07,11.318,11.376,10.817,10.932,31961
2019-02-08,10.913,11.279,10.894,11.164,8246
2019-02-11,11.241,11.434,11.241,11.318,20472
2019-02-12,11.318,11.761,11.279,11.472,116487
2019-02-13,11.511,11.569,11.183,11.279,16881
2019-02-14,11.26,11.472,11.087,11.472,25895
2019-02-15,11.453,11.53,11.357,11.511,7669
2019-02-18,11.53,12.051,11.511,11.935,54152
2019-02-19,11.916,12.051,11.8,11.877,14978
2019-02-20,11.877,11.954,11.761,11.8,7088
2019-02-21,11.839,11.839,11.723,11.723,7205
2019-02-22,11.665,11.916,10.99,11.318,31561
2019-02-25,10.932,11.376,10.932,11.279,19834
2019-02-26,11.279,11.279,11.087,11.222,7817
2019-02-27,11.26,11.376,11.087,11.183,8551
2019-02-28,11.183,12.533,11.183,12.533,341111
2019-03-01,12.436,12.494,12.243,12.34,27589
2019-03-04,12.436,12.533,12.186,12.205,64046
2019-03-05,12.243,12.243,11.877,12.147,20958
2019-03-06,12.205,12.224,12.07,12.205,8628
2019-03-07,12.147,12.186,11.877,11.954,20129
2019-03-08,11.896,11.916,11.742,11.839,9680
2019-03-11,12.186,12.34,11.896,12.07,15320
2019-03-12,12.012,12.012,11.684,11.781,18956
2019-03-13,11.896,12.128,11.222,11.569,41802
2019-03-14,11.569,12.051,11.569,11.588,5930
2019-03-15,12.282,12.282,11.858,11.954,30724
2019-03-18,11.974,12.051,11.858,11.935,14449
2019-03-19,11.954,11.954,11.761,11.916,19938
2019-03-20,11.916,11.916,11.607,11.781,7757
2019-03-21,11.8,11.8,11.665,11.684,9863
2019-03-22,11.761,11.839,11.569,11.569,10812
2019-03-25,11.376,11.569,11.299,11.569,35546
2019-03-26,11.569,11.954,11.549,11.569,78394
2019-03-27,11.781,11.781,11.472,11.492,9270
2019-03-28,11.472,11.472,11.337,11.472,18211
2019-03-29,11.549,11.549,11.26,11.26,20743
2019-04-01,11.222,11.318,10.894,11.125,26849
2019-04-02,11.279,11.279,11.087,11.279,6969
2019-04-03,11.434,11.53,11.434,11.53,18306
2019-04-04,11.569,11.684,11.569,11.569,9635
2019-04-05,11.607,11.646,11.472,11.472,8928
2019-04-08,11.183,11.414,11.087,11.376,12580
2019-04-09,11.376,11.472,11.279,11.453,5712
2019-04-10,11.472,11.569,11.202,11.53,41362
2019-04-11,11.53,11.53,11.376,11.376,65899
2019-04-12,11.665,11.954,11.588,11.665,66198
2019-04-15,11.684,11.935,11.511,11.704,15723
2019-04-16,11.626,11.665,11.472,11.472,12650
2019-04-17,11.665,12.07,11.241,11.549,57290
2019-04-18,11.569,11.742,11.009,11.222,41726
2019-04-23,11.164,11.164,10.605,10.855,24530
2019-04-24,10.855,10.855,10.412,10.47,45806
2019-04-25,10.566,10.605,10.335,10.412,10521
2019-04-26,10.354,10.605,9.795,10.47,24631
2019-04-29,10.489,10.605,10.335,10.45,11464
2019-04-30,10.47,10.47,10.335,10.335,5439
2019-05-02,10.335,10.547,10.084,10.123,13469
2019-05-06,10.084,10.258,9.949,10.065,12885
2019-05-07,10.103,10.142,9.2549,9.467,90025
2019-05-08,9.4477,9.467,9.2645,9.332,36569
