Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-10-30,0.81,0.89,0.75,0.89,2053940
2018-10-31,0.9,1.08,0.9,1.05,1836487
2018-11-02,1.12,1.35,1.12,1.29,3552110
2018-11-05,1.3,1.32,1.18,1.24,1276359
2018-11-06,1.27,1.34,1.15,1.15,1310139
2018-11-07,1.1,1.13,0.99,1.01,633335
2018-11-08,0.99,1.07,0.93,1,447253
2018-11-09,0.99,0.99,0.84,0.87,458824
2018-11-13,0.84,1.03,0.84,1.03,533501
2018-11-14,1.05,1.15,0.96,1.07,830334
2018-11-15,1.07,1.07,0.98,1.07,246557
2018-11-16,1.08,1.24,1.04,1.19,569361
2018-11-19,1.23,1.29,1.19,1.22,271316
2018-11-20,1.23,1.35,1.15,1.27,794864
2018-11-21,1.28,1.28,1.05,1.05,432054
2018-11-22,1.05,1.15,0.99,1.05,399239
2018-11-23,1.08,1.15,1.07,1.12,99624
2018-11-26,1.1,1.21,1.09,1.1,169078
2018-11-27,1.1,1.2,1.09,1.17,87683
2018-11-28,1.18,1.25,1.14,1.2,308060
2018-11-29,1.21,1.21,1.14,1.15,144662
2018-11-30,1.15,1.15,1.02,1.03,370645
2018-12-03,1,1,0.91,0.93,511432
2018-12-04,0.9,0.97,0.85,0.91,639370
2018-12-05,0.93,1.12,0.93,1.12,843754
2018-12-06,1.11,1.2,1.04,1.05,745234
2018-12-07,1.13,1.18,1.06,1.06,893675
2018-12-10,1.05,1.11,1.02,1.06,368874
2018-12-11,1.06,1.3,1.06,1.3,2904026
2018-12-12,1.35,1.62,1.34,1.55,4051911
2018-12-13,1.55,1.68,1.35,1.35,2539794
2018-12-14,1.41,1.6,1.39,1.56,1801127
2018-12-17,1.56,1.78,1.56,1.7,2210408
2018-12-18,1.69,1.75,1.58,1.63,1467187
2018-12-19,1.6,1.65,1.52,1.52,818145
2018-12-20,1.52,1.7,1.45,1.65,1152266
2018-12-21,1.62,1.72,1.54,1.56,742137
2018-12-27,1.57,1.6,1.47,1.47,277231
2018-12-28,1.49,1.55,1.43,1.5,241944
2019-01-02,1.53,1.6,1.45,1.55,207893
2019-01-03,1.57,1.67,1.51,1.64,536370
2019-01-04,1.65,1.68,1.59,1.6,273978
2019-01-07,1.63,1.84,1.6,1.84,795996
2019-01-08,1.86,1.95,1.83,1.9,1477448
2019-01-09,1.91,2.19,1.83,2.18,2823470
2019-01-10,2.15,2.73,2.13,2.35,4474182
2019-01-11,2.34,2.48,2.18,2.38,2336076
2019-01-14,2.38,2.39,2.04,2.05,1087835
2019-01-15,2,2.28,1.97,2.2,2672613
